Ürün Grup ID,Varyant ID,İsim,Satış Fiyatı,İndirimli Fiyatı,Varyant Tip 1,Varyant Değer 1,Varyant Tip 2,Varyant Değer 2
e25bcb30-5218-4855-a353-b0f2c259aa87,9787f58e-e920-47a8-8329-10b785bf3f9e,Bebek Şekeri Hediyelikleri – Cam Şişede Kalpli Şekerler | Kişiye Özel Tasarım,770,,Şeker Sayıları,30 ADET,,
e25bcb30-5218-4855-a353-b0f2c259aa87,e38d8df1-17b0-4255-a9be-6dee19abd6ed,Bebek Şekeri Hediyelikleri – Cam Şişede Kalpli Şekerler | Kişiye Özel Tasarım,990,,Şeker Sayıları,50 ADET,,
e25bcb30-5218-4855-a353-b0f2c259aa87,c9452483-099f-4f3c-9687-8c8fe0a7bcb8,Bebek Şekeri Hediyelikleri – Cam Şişede Kalpli Şekerler | Kişiye Özel Tasarım,1760,,Şeker Sayıları,100 ADET,,
e25bcb30-5218-4855-a353-b0f2c259aa87,8e71ad55-c729-41ad-80d5-9a58abb8dda4,Bebek Şekeri Hediyelikleri – Cam Şişede Kalpli Şekerler | Kişiye Özel Tasarım,2310,,Şeker Sayıları,150 ADET,,
991e0235-71e6-4301-b8db-5b4205f5c543,a4ec8f79-553f-4e7c-ae75-2b61d4193a2a,Boncuklu- Renkli Emzik Askısı,310,242,Emzik Askısı Renk Seçimi,3 - Pembe/Mor,,
991e0235-71e6-4301-b8db-5b4205f5c543,646d5fa9-cdc8-4042-95ba-0dea97e744ad,Boncuklu- Renkli Emzik Askısı,310,242,Emzik Askısı Renk Seçimi,2 - Kahverengi/Turuncu,,
991e0235-71e6-4301-b8db-5b4205f5c543,5948ddbb-6b5a-4aed-9867-0e387f302b0f,Boncuklu- Renkli Emzik Askısı,310,242,Emzik Askısı Renk Seçimi,1 - Mavi/ Lacivert,,
b814676a-3b90-41b8-8867-3988ba5534af,cde635cd-15ef-4d6a-afce-3e7b6dad95d6,Bubble Mum Hediyelik | Kişiye Özel Tasarım,660,,Mum adeti,30,,
b814676a-3b90-41b8-8867-3988ba5534af,8b1ba395-581c-470a-81bd-2e754f90cc4d,Bubble Mum Hediyelik | Kişiye Özel Tasarım,880,,Mum adeti,50,,
b814676a-3b90-41b8-8867-3988ba5534af,33233b3f-af12-49cb-a6f7-6d624209f831,Bubble Mum Hediyelik | Kişiye Özel Tasarım,1650,,Mum adeti,100,,
b814676a-3b90-41b8-8867-3988ba5534af,5e872110-ceae-4f77-8a1d-e5cef3dc1009,Bubble Mum Hediyelik | Kişiye Özel Tasarım,2200,,Mum adeti,150,,
3d7d479c-f925-490a-a54e-f7a5b45f5906,dec395fb-3de5-40de-8b91-ad9971f36888,Dikişsiz ve Kokulu Havlu Bebek Çorap Seti – 2’li | 0–1 Yaş ,110,98.89,Bebek Çorap Renk Seçenekleri,Beyaz - Mor,,
3d7d479c-f925-490a-a54e-f7a5b45f5906,397964e8-506d-4188-96ce-13baa0c5dad5,Dikişsiz ve Kokulu Havlu Bebek Çorap Seti – 2’li | 0–1 Yaş ,110,98.89,Bebek Çorap Renk Seçenekleri,Beyaz - Pembe,,
3d7d479c-f925-490a-a54e-f7a5b45f5906,88625884-4aba-4a13-a3da-6a37e0789877,Dikişsiz ve Kokulu Havlu Bebek Çorap Seti – 2’li | 0–1 Yaş ,110,98.89,Bebek Çorap Renk Seçenekleri,Beyaz - Gül Kurusu,,
3d7d479c-f925-490a-a54e-f7a5b45f5906,76bc28fb-44a8-44a9-ab25-fce41e90065c,Dikişsiz ve Kokulu Havlu Bebek Çorap Seti – 2’li | 0–1 Yaş ,110,98.89,Bebek Çorap Renk Seçenekleri,Beyaz - Gri,,
d4e70993-4945-478f-b7ae-a6f4e758506c,3b719565-8c6b-4ed5-81a3-cbfe1f41c716,Dinozor Amigurumi El Örgüsü Çıngırak Oyuncak,417.89,340.89,,,,
95ae9266-f746-46a3-9c78-97f89a22939d,206ada52-73ee-4e91-b5dd-4e84cb736688,Dinozor Desenli ve Düz Renkli 2'li Bebek Müslin Örtü Seti,638,484,,,,
